vote_count,budget,popularity,crew_count,cast_count,runtime,keywords_count,vote_average,genres_count,release_year,production_companies_count,spoken_languages_count,revenue
1121,100000000,36.711378,23,25,102.0,2,6.4,4,2013.0,2,1,268426634
1699,100000000,41.426678,30,46,103.0,5,6.0,3,2010.0,11,5,278731369
482,100000000,20.652943,139,13,121.0,27,5.5,4,1999.0,1,3,211989043
2281,100000000,52.792678,87,22,143.0,14,7.3,3,2006.0,7,2,170877916
6571,100000000,95.007934,244,140,180.0,12,7.9,3,2013.0,5,2,392000694
1498,100000000,48.205606,18,17,121.0,21,5.2,3,1995.0,2,1,336529144
1560,105000000,58.782359,46,20,129.0,13,6.7,4,1997.0,3,1,121214377
2977,102000000,73.872343,149,30,172.0,8,6.6,2,2012.0,8,1,130482868
703,80000000,37.321848,13,22,97.0,1,6.5,4,2010.0,4,1,140073390
808,100000000,32.271938,162,58,104.0,12,4.2,2,2004.0,6,2,82102379
1680,100000000,76.842247,77,26,99.0,6,5.6,2,2014.0,4,1,243400000
948,140000000,38.924136,39,28,95.0,17,7.2,5,2002.0,2,1,109578115
381,100000000,19.38841,27,18,102.0,4,5.3,3,2009.0,4,1,68688831
1795,90000000,61.025639,85,31,127.0,8,6.1,3,2014.0,6,1,206172544
783,105000000,33.507289,144,14,114.0,5,5.5,3,2015.0,4,1,133718711
1276,100000000,50.767332,110,26,122.0,22,6.5,5,2015.0,8,1,93820758
142,100000000,12.092241,9,14,95.0,7,4.4,3,2002.0,4,1,7103973
717,100000000,30.254021,81,88,115.0,3,6.4,5,2010.0,5,2,94882889
604,99000000,34.308098,16,14,88.0,5,6.5,1,2015.0,2,1,246233113
73,10000000,3.091077,18,6,110.0,4,7.1,4,1997.0,4,1,13835130
2206,98000000,41.862983,11,19,130.0,3,6.0,3,2001.0,3,2,433013274
1910,100000000,46.160048,38,29,167.0,12,7.1,3,2002.0,3,4,193772504
187,94000000,12.516546,45,8,145.0,2,7.1,3,2011.0,3,3,95311434
601,85000000,23.230851,19,15,85.0,9,5.9,3,2007.0,2,1,149044513
334,90000000,19.224754,19,22,93.0,3,5.4,3,2004.0,3,1,102000000
1811,92000000,44.455166,156,34,144.0,7,7.2,3,2001.0,3,2,172989651
578,0,16.460356,12,21,85.0,10,5.6,1,2012.0,4,1,104907746
3885,90000000,109.528572,134,115,126.0,26,7.3,5,1997.0,2,3,263920180
